FamilyTitle,FamilyCode,ClassTitle,ClassCode,BrickTitle,BrickCode,AttributeTitle,AttributeCode,AttributeValueTitle,AttributeValueCode,AttributeValueDefinition,searchable_text,searchable_text_uncleaned,stl_embedding,uuid,ref_uuid
Food/Beverage Variety Packs,50230000,Food/Beverage Variety Packs,50230100,Food/Beverage Variety Packs,10000590,,,,,,FOOD BEVERAGE VARIETY PACKS,FOOD/BEVERAGE VARIETY PACKS ,[],4df09bf2-53e6-4359-85d1-9350efa2fdc5,
Beverages,50200000,Alcoholic Beverages (Includes De-Alcoholised Variants),50202200,Alcoholic Beverages Variety Packs,10000591,,,,,,ALCOHOLIC BEVERAGES VARIETY PACKS,ALCOHOLIC BEVERAGES VARIETY PACKS ,[],b746b52a-9709-44e3-9f63-9870bb4ab9b7,
Beverages,50200000,Coffee/Tea/Substitutes,50201700,Coffee/Tea/Substitutes Variety Packs,10000592,,,,,,COFFEE TEA SUBSTITUTES VARIETY PACKS,COFFEE/TEA/SUBSTITUTES VARIETY PACKS ,[],21f57ccb-4bca-468b-b135-e585a232812b,
Beverages,50200000,Non Alcoholic Beverages - Not Ready to Drink,50202400,Non Alcoholic Beverages Variety Packs - Not Ready to Drink,10000593,,,,,,NON ALCOHOLIC BEVERAGES VARIETY PACKS NOT READY TO DRINK,NON ALCOHOLIC BEVERAGES VARIETY PACKS - NOT READY TO DRINK ,[],124376d1-26a9-4bae-bb58-50dd55a049c6,
Beverages,50200000,Non Alcoholic Beverages - Ready to Drink,50202300,Non Alcoholic Beverages Variety Packs - Ready to Drink,10000594,,,,,,NON ALCOHOLIC BEVERAGES VARIETY PACKS READY TO DRINK,NON ALCOHOLIC BEVERAGES VARIETY PACKS - READY TO DRINK ,[],63bfd639-06a9-49ef-8731-c39ecf555ae5,
Bread/Bakery Products,50180000,Baking/Cooking Mixes/Supplies,50181700,Baking/Cooking Mixes/Supplies Variety Packs,10000595,,,,,,BAKING COOKING MIXES SUPPLIES VARIETY PACKS,BAKING/COOKING MIXES/SUPPLIES VARIETY PACKS ,[],7abcfc47-f5e3-4a35-9854-a6242fbc2c07,
Bread/Bakery Products,50180000,Biscuits/Cookies,50182100,Biscuits/Cookies Variety Packs,10000596,,,,,,BISCUITS COOKIES VARIETY PACKS,BISCUITS/COOKIES VARIETY PACKS ,[],760382c4-ea85-48b7-a2b3-678393cd2196,
Bread/Bakery Products,50180000,Sweet Bakery Products,50182000,Sweet Bakery Products Variety Packs,10000597,,,,,,SWEET BAKERY PRODUCTS VARIETY PACKS,SWEET BAKERY PRODUCTS VARIETY PACKS ,[],b75ec6b2-b950-42de-aa8c-aa6daa6fac82,
Bread/Bakery Products,50180000,Bread/Bakery Products Variety Packs,50182300,Bread/Bakery Products Variety Packs,10000598,,,,,,BREAD BAKERY PRODUCTS VARIETY PACKS,BREAD/BAKERY PRODUCTS VARIETY PACKS ,[],a45d8081-4d7a-4aa8-944c-0c5fa85bc033,
Cereal/Grain/Pulse Products,50220000,Grains/Flour,50221000,Grains/Flour Variety Packs,10000599,,,,,,GRAINS FLOUR VARIETY PACKS,GRAINS/FLOUR VARIETY PACKS ,[],1965c8e6-035d-4514-a05e-96614fb05c3e,
