client_id,supplier_id,supplier_is_active,supplier_name,geolocation_eq_phone,geolocation_eq_phoneCountryCode,geolocation_eq_address,geolocation_eq_city,geolocation_eq_postal,geolocation_eq_country,geolocation_eq_province,geolocation_eq_phoneExtension,geolocation_eq_latitude,geolocation_eq_longitude
1CizJe6Mc8lUi3I6ul9n,5773fb964692d45c221d87f3,True,Société des Alcools du Québec (SAQ),866-873-2020,CA,,,,,,,,
1CizJe6Mc8lUi3I6ul9n,57c44a535dcea3a00dbbeadd,True,Viandex,418-681-2482,CA,195 rue Joly,Ville de Québec,G1L1N7,,,,,
1CizJe6Mc8lUi3I6ul9n,596919b96f138029c8bb6de1,True,Gordon Food Service Canada (GFS),418-840-5600,CA,,,,,,,,
1CizJe6Mc8lUi3I6ul9n,606734c35603f8a85c67d893,True,Huiles Végétales C.P.,,,719 boulevard Industriel,Blainville,J7C3V3,,,,,
1CizJe6Mc8lUi3I6ul9n,669fc00813018d59dd000010,True,Divers épicerie,,,,,,,,,,
1CizJe6Mc8lUi3I6ul9n,66a26511e6072f118e00000f,True,Brasserie Dépareillée,873-664-2536,CA,751 Rue Ste Anne,Yamachiche,G0X3L0,,,,,
1CizJe6Mc8lUi3I6ul9n,66a8fb24e6072f268b000009,True,Divins Nectars,,,11 rue camire,Levis,G6W1S2,,,,,
1CizJe6Mc8lUi3I6ul9n,6712c07ef590912621000082,True,Recherche et Développement MEF,,,,,,,,,,
7DG0oD842HhqOuWLuXV2,MpywT4llAp6Kwan6Cgck,True,Brasseurs GMT (Brasseurs RJ),418-658-0529,CA,5585 de la Roche,Montréal,H2J 3K3,Canada,Québec,,,
7DG0oD842HhqOuWLuXV2,xDsiRgeFriyMSvp0LK7f,True,Boulangerie Blouin,418-829-2590,CA,"2541, Chemin Royal",Sainte-Famille,G0A 3P0,Canada,Québec,,,
OctogoneDemo,02rB52TV6qtXWSWwowTA,True,Fromagerie du Presbythère,450-974-4424,CA,430 de la Pommerais,St Joseph du lac,J0N 1M0,,,,,
OctogoneDemo,05UCnn1hyOAYpUamw0Ab,False,.LeFournissementaritationnementalement,23 456 7890,ZA,123/12 rue Facile,Qubec,j3h4h5,canadq,qc,,,
OctogoneDemo,0UtaVYXProVvE0NtZI9F,False,Norref,(514)-593-9999,,4900 rue molson,montreal,H1Y 3J8,canada,quebec,,,
OctogoneDemo,0gZoPpWZDcjPzY3xUVZ4,True,distribution alimentaires roy inc,(418)-885-9696,,10 rue blouin,saint-anselme,G0R 2N0,canada,QC,,,
OctogoneDemo,0x7ngBPKvr2A6fvM9cWe,False,Épices de Cru,(514)-273-1118,,"7070 Avenue Henri-Julien,", Montréal ,H2S 3S3,Canada,QC ,,,
OctogoneDemo,1MniezEcqVgnKAfa9APb,True,Vins Philippe Dandurand,(514)-932-2626,,"1100, av. Atwater",Westmount,H3Z 2Y4,CA,Québec,,,
OctogoneDemo,1UvkBUUP7Iopb5nXeRs9,True,Bazinet Taylor,,,275 ave. Saint-Sacrement,Québec,G1N 3Y1,Canada,Québec,,,
OctogoneDemo,1YrZJPxcu1ZQ0gsHUxw8,False,Alsco,(418)-681-6185,,"1150, rue des Ardennes",Québec,G1N 4J3,Canada,Québec,,,
OctogoneDemo,1gqnmPz5413lNDtc0g0U,False,ARQ (Association restaurateurs Québec),(514)-527-9801,,"6880, Boul. Louis H. Lafontaine",Montréal,H1M 2T2,Canada,Québec,,,
OctogoneDemo,2,True,Fruits et Légumes Damen Entreprise,,,"670, rue Deslauriers, Montréal QC  H4N 1W5",,,,,,,
OctogoneDemo,2pGKkOzlbkPJFanvtAuf,True,Alternative Vins et Spiritueux,(418)-670-1481,,6520 rue Saint-Hubert,Montréal,H2S 2M3,CA,Québec,,,
OctogoneDemo,39NjVCTWIHVB8w2RT52M,True,Médiserre,514-346-2055,CA,1194 Chemin de Chambly,Longueuil,J4J 3W6,canada,qc,,,
OctogoneDemo,3FQ2Ll7QmWTtlFXauV1J,True,Aliments Ares Foods,(514)-271-6807,,8250 rue Bombardier,Montréal,H1J 1A4,Canada,Québec,,,
OctogoneDemo,3Yv5o93PIJFza7lq4wMM,False,Les emballages L. Boucher,,,1360 Galilee Av ,Quebec ,G1P4E3,,Québec,,,
OctogoneDemo,3edRx3hNMVSpxXVRsak9,False,Plaisirs Gourmets,418-876-3814,CA,"150, rue de Singapour ",Saint-Augustin-De-Desmaures ,G3A 0P5,,Québec ,,,
OctogoneDemo,3n1YJFcUDw3frJt67yES,True,Colabor,(418)-831-8200,,"820 Rue Alphonse-Desrochers, ",Lévis ,G7A 5H9,,QC ,,,
OctogoneDemo,3pGYbhCFgU6xnH5mPmcf,True,Jambec,450-756-1248,CA,123 rue de la perchaude,Joliette,S4D5S4,Chinada,Québec,1,,
OctogoneDemo,3tSoQzzD7Wv9y56pVvsx,False,SAPUTO,514-328-3466,CA,2365 ch. de la cote-de-liesse,st-Laurent,H4N2M7,Canada,Quebec,,,
OctogoneDemo,3zzb3MH3MNTbkJc5nCbf,True,Boires,514-360-0495,CA,102-6422 Boulevard Saint-Laurent,Montréal,H2S 3C4,Canada,Québec,,,
OctogoneDemo,4E3YD4FOZb2ZmWQlWSvY,True,Aroma Imports,418-575-8203,CA,"91, rue du Boisé",Saint-Nicolas,G7A 2R2,Canada,QC,,,
OctogoneDemo,4QLYHApdAGNVz70HfzKt,True,Doyon Després,418-681-6366,CA,"525, rue du Marais",Québec,,Canada,Québec,,,
OctogoneDemo,570cfdf5bb25c67425e46592,False,Allard,(418) 522-2323,,,,,,,,,
OctogoneDemo,5773fb964692d45c221d87f3,False,Société des Alcools du Québec,,,7500 Rue Tellier,Montréal,H1N3W5,,,,,
OctogoneDemo,577d3f56326081cc19c87a18,False,Colabor,,,,,,,,,,
OctogoneDemo,57c449765dcea3a00dbbeadc,False,FLB Solutions Alimentaires,,,,,,,,,,
OctogoneDemo,57c44a535dcea3a00dbbeadd,False,Viandex,,,195 rue Joly,Québec,G1L1N7,,,,,
OctogoneDemo,57c44a535dcea3a00dbbeade,True,Gibiers Canabec,,,115 Rue des Grands Lacs,Saint-Augustin-de-Desmaures,G3A2T9,,,,,
OctogoneDemo,580f7e26c1ff6828744358d5,True,Tantrum Corporation,,,,,,,,,,
OctogoneDemo,580f7e5cc1ff6828744358d7,False,Turlo (Élevage des pigeonneaux),,,,,,,,,,
OctogoneDemo,580f7e75c1ff6828744358d9,True,Emballages de la Capitale,,,1255 L'Ancienne-Cartoucherie,Québec,G1N1X8,,,,,
OctogoneDemo,580f7ed1c1ff6828744358dd,True,Lirode,,,,,,,,,,
OctogoneDemo,580f85e2c1ff682874435920,False,Distribution Frigon 2001 inc,,,"830, Avenue Godin, suite 015",Québec,G1M2X9,,,,,
